DATE,DEXCHUS
8/27/12,6.3558
8/28/12,6.3525
8/29/12,6.3513
8/30/12,6.3494
8/31/12,6.3484
9/4/12,6.3465
9/5/12,6.3489
9/6/12,6.3428
9/7/12,6.3428
9/10/12,6.3375
9/11/12,6.3349
9/12/12,6.3261
9/13/12,6.3294
9/14/12,6.3145
9/17/12,6.317
9/18/12,6.3187
9/19/12,6.3091
9/20/12,6.3036
9/21/12,6.3051
9/24/12,6.309
9/25/12,6.3057
9/26/12,6.3015
9/27/12,6.3021
9/28/12,6.2848
10/1/12,6.284
10/2/12,6.284
10/3/12,6.284
10/4/12,6.284
10/5/12,6.284
10/8/12,.
10/9/12,6.2877
10/10/12,6.2831
10/11/12,6.2765
10/12/12,6.267
10/15/12,6.27
10/16/12,6.2637
10/17/12,6.254
10/18/12,6.2501
10/19/12,6.2533
10/22/12,6.2543
10/23/12,6.2478
10/24/12,6.2478
10/25/12,6.2416
10/26/12,6.248
10/31/12,6.2372
11/1/12,6.2393
11/2/12,6.2411
11/5/12,6.2452
11/6/12,6.2454
11/7/12,6.2435
11/8/12,6.2427
11/9/12,6.245
11/12/12,.
11/13/12,6.226
11/14/12,6.225
11/15/12,6.2329
11/16/12,6.2354
11/19/12,6.2343
11/20/12,6.2324
11/21/12,6.23
11/23/12,6.2275
11/26/12,6.2253
11/27/12,6.2221
11/28/12,6.2273
11/29/12,6.2281
11/30/12,6.2265
12/3/12,6.2277
12/4/12,6.2254
12/5/12,6.2251
12/6/12,6.2282
12/7/12,6.2299
12/10/12,6.2296
12/11/12,6.246
12/12/12,6.2502
12/13/12,6.2316
12/14/12,6.241
12/17/12,6.236
12/18/12,6.2322
12/19/12,6.2293
12/20/12,6.2297
12/21/12,6.2284
12/24/12,6.2335
12/26/12,6.2351
12/27/12,6.2358
12/28/12,6.2315
12/31/12,6.2301
1/2/13,6.2301
1/3/13,6.2301
1/4/13,6.2303
1/7/13,6.2294
1/8/13,6.2235
1/9/13,6.226
1/10/13,6.223
1/11/13,6.2156
1/14/13,6.219
1/15/13,6.2134
1/16/13,6.216
1/17/13,6.2158
1/18/13,6.2152
1/22/13,6.2196
1/23/13,6.2178
1/24/13,6.2179
1/25/13,6.2203
1/28/13,6.224
1/29/13,6.2259
1/30/13,6.2204
1/31/13,6.2186
2/1/13,6.2265
2/4/13,6.2326
2/5/13,6.2292
2/6/13,6.2315
2/7/13,6.2323
2/8/13,6.2323
2/11/13,6.2323
2/12/13,6.2323
2/13/13,6.2323
2/14/13,6.2323
2/15/13,6.2323
2/19/13,6.2438
2/20/13,6.2371
2/21/13,6.2403
2/22/13,6.2346
2/25/13,6.2337
2/26/13,6.2293
2/27/13,6.2271
2/28/13,6.2213
3/1/13,6.2226
3/4/13,6.2246
3/5/13,6.2208
3/6/13,6.2173
3/7/13,6.22
3/8/13,6.2145
3/11/13,6.2179
3/12/13,6.216
3/13/13,6.2137
3/14/13,6.2145
3/15/13,6.2133
3/18/13,6.2156
3/19/13,6.2154
3/20/13,6.2117
3/21/13,6.2141
3/22/13,6.212
3/25/13,6.2105
3/26/13,6.2108
3/27/13,6.2138
3/28/13,6.2143
4/1/13,6.2078
4/2/13,6.1992
4/3/13,6.1962
4/4/13,6.2005
4/5/13,6.2005
4/8/13,6.2031
4/9/13,6.2022
4/10/13,6.1938
4/11/13,6.1961
4/12/13,6.1914
4/15/13,6.1866
4/16/13,6.1824
4/17/13,6.172
4/18/13,6.1811
4/19/13,6.1772
4/22/13,6.1823
4/23/13,6.179
4/24/13,6.1782
4/25/13,6.1707
4/26/13,6.1647
4/29/13,6.1647
4/30/13,6.1647
5/1/13,6.1647
5/2/13,6.156
5/3/13,6.1555
5/6/13,6.1665
5/7/13,6.1539
5/8/13,6.141
5/9/13,6.1306
5/10/13,6.1415
5/13/13,6.1465
5/14/13,6.1426
5/15/13,6.1454
5/16/13,6.1487
5/17/13,6.141
5/20/13,6.1386
5/21/13,6.1353
5/22/13,6.1309
5/23/13,6.1337
5/24/13,6.1311
5/28/13,6.1213
5/29/13,6.1264
5/30/13,6.1307
5/31/13,6.134
6/3/13,6.1312
6/4/13,6.1285
6/5/13,6.1276
6/6/13,6.1359
6/7/13,6.1333
6/10/13,6.1333
6/11/13,6.1333
6/12/13,6.1333
6/13/13,6.1341
6/14/13,6.1306
6/17/13,6.1248
6/18/13,6.1283
6/19/13,6.1264
6/20/13,6.1277
6/21/13,6.1328
6/24/13,6.1441
6/25/13,6.1448
6/26/13,6.1468
6/27/13,6.1488
6/28/13,6.1374
7/1/13,6.1325
7/2/13,6.1327
7/3/13,6.1301
7/5/13,6.1324
7/8/13,6.1337
7/9/13,6.1293
7/10/13,6.1336
7/11/13,6.135
7/12/13,6.1373
7/15/13,6.1373
7/16/13,6.1345
7/17/13,6.1351
7/18/13,6.1408
7/19/13,6.1377
7/22/13,6.1404
7/23/13,6.1369
7/24/13,6.1358
7/25/13,6.1346
7/26/13,6.1316
7/29/13,6.1323
7/30/13,6.1315
7/31/13,6.1284
8/1/13,6.1302
8/2/13,6.1293
8/5/13,6.1245
8/6/13,6.1215
8/7/13,6.119
8/8/13,6.1207
8/9/13,6.1217
8/12/13,6.1218
8/13/13,6.1217
8/14/13,6.1191
8/15/13,6.1123
8/16/13,6.1145
8/19/13,6.1227
8/20/13,6.1241
8/21/13,6.1229
8/22/13,6.1206
8/23/13,6.12
8/26/13,6.1202
8/27/13,6.1212
8/28/13,6.1202
8/29/13,6.1203
8/30/13,6.1193
9/3/13,6.1204
9/4/13,6.1199
9/5/13,6.1194
9/6/13,6.1202
9/9/13,6.1209
9/10/13,6.1195
9/11/13,6.1183
9/12/13,6.1178
9/13/13,6.1186
9/16/13,6.1198
9/17/13,6.1213
9/18/13,6.121
9/19/13,6.121
9/20/13,6.121
9/23/13,6.1201
9/24/13,6.1208
9/25/13,6.119
9/26/13,6.1194
9/27/13,6.1179
9/30/13,6.12
10/1/13,6.12
10/2/13,6.12
10/3/13,6.12
10/4/13,6.12
10/7/13,6.12
10/8/13,6.1206
10/9/13,6.1209
10/10/13,6.1156
10/11/13,6.1204
